name,hex,link
Púrpura de Tiro,#7b236d,https://es.wikipedia.org/wiki/P%C3%BArpura_de_Tiro
Púrpura eléctrico,#cc00ff,https://es.wikipedia.org/wiki/P%C3%BArpura#Púrpura_espectral
Púrpura francés,#9e0e40,https://es.wikipedia.org/wiki/P%C3%BArpura#Púrpura_en_francés
Quercitrón,#e5b03d,https://es.wikipedia.org/wiki/Quercitr%C3%B3n
Quermes,#c42d45,https://es.wikipedia.org/wiki/Kermes_(pigmento)
Rojo,#e60026,https://es.wikipedia.org/wiki/Rojo
Rojo Falun,#a54332,https://es.wikipedia.org/wiki/Rojo_de_Falun
Rojo Ferrari,#cc0000,https://es.wikipedia.org/wiki/Rojo_Ferrari
Rojo Upsdell,#ae2029,https://es.wikipedia.org/wiki/Rojo_Upsdell
Rojo anaranjado,#ea4613,https://es.wikipedia.org/wiki/Rojo_anaranjado
Rojo coral,#ea453f,https://es.wikipedia.org/wiki/Coral_(color)
Rojo fucsia,#ff005a,https://es.wikipedia.org/wiki/Fucsia
Rojo indio,#882d17,https://es.wikipedia.org/wiki/Rojo_indio
Rojo magenta,#e5097f,https://es.wikipedia.org/wiki/Magenta#Magenta_sustractivo_(color_primario)
Rojo neón,#fe575f,https://es.wikipedia.org/wiki/Rojo#Ejemplos_de_coloraciones_rojas
Rojo periodo,#9c0002,https://es.wikipedia.org/wiki/Rojo#Ejemplos_de_coloraciones_rojas
Rojo persa,#cb1d11,https://es.wikipedia.org/wiki/Rojo_persa
Rojo púrpura,#b21154,https://es.wikipedia.org/wiki/Rojo_p%C3%BArpura
Rojo sangre,#9c0001,https://es.wikipedia.org/wiki/Rojo#Ejemplos_de_coloraciones_rojas
Rojo toscano,#79443b,https://es.wikipedia.org/wiki/Rojo_toscano
Rojo veneciano,#6e433c,https://es.wikipedia.org/wiki/Rojo_veneciano
Rojo violeta,#c71585,https://es.wikipedia.org/wiki/Rojo_p%C3%BArpura#Colores_web
Rojo óxido,#aa5b56,https://es.wikipedia.org/wiki/Rojo_indio#Rojo_indio_y_otros_pigmentos_basados_en_el_óxido_de_fierro
Rosa Mountbatten,#997a8d,https://es.wikipedia.org/wiki/Rosa_Mountbatten
Rosa coral,#f88379,https://es.wikipedia.org/wiki/Coral_(color)#Rosa_coral
Rosa lavanda,#e8ccd7,https://es.wikipedia.org/wiki/Rosa_(color)#Ejemplos_del_color_rosado
Rosa malva,#d597ae,https://es.wikipedia.org/wiki/Rosa_(color)#Ejemplos_del_color_rosado
Rosa mexicano,#f50087,https://es.wikipedia.org/wiki/Rosa_mexicano
Rosa naranja,#ff9966,https://es.wikipedia.org/wiki/Rosa_naranja
Rosa o rosado,#ffc0cb,https://es.wikipedia.org/wiki/Rosa_(color)
Rosa shocking,#fc0fc0,https://es.wikipedia.org/wiki/Rosa_shocking
Rubí,#e0115f,https://es.wikipedia.org/wiki/Rojo#Ejemplos_de_coloraciones_rojas
Rufo,#cc6e52,https://es.wikipedia.org/wiki/Rufo_(color)
Salmón,#f28773,https://es.wikipedia.org/wiki/Salm%C3%B3n_(color)
Sangría,#92000a,https://es.wikipedia.org/wiki/Vino_(color)#Ejemplos_de_colores_vino_o_avinados
Secuoya,#8a5754,https://es.wikipedia.org/wiki/Secuoya_(color)
Sepia,#663b2a,https://es.wikipedia.org/wiki/Sepia_(color)
Siena,#c58a3e,https://es.wikipedia.org/wiki/Siena_(color)
Siena tostada,#892e18,https://es.wikipedia.org/wiki/Siena_(color)#Siena_tostada
Sinople,#008c00,https://es.wikipedia.org/wiki/Esmalte_(her%C3%A1ldica)#Códigos_de_color_RGB_y_CYMK
Teja,#b94841,https://es.wikipedia.org/wiki/Rojo#Ejemplos_de_coloraciones_rojas
Tomate,#ff6347,https://es.wikipedia.org/wiki/Tomate_(color)
Torcaza o topo,#87794e,https://es.wikipedia.org/wiki/Gris#Muestras_grises
Toronja,#fe6448,https://es.wikipedia.org/w/index.php?title=Toronja_(color)&action=edit&redlink=1
Trigo,#f5deb3,https://es.wikipedia.org/wiki/Trigo_(color)
Turquesa,#40e0d0,https://es.wikipedia.org/wiki/Turquesa_(color)
Turquí,#122562,https://es.wikipedia.org/wiki/Turqu%C3%AD
Té verde,#cffdaf,https://es.wikipedia.org/wiki/Verde_amarillo#Otros_ejemplos_verde-amarillos
Vainilla,#f5e7ad,https://es.wikipedia.org/wiki/Crema_(color)#Coloraciones_similares
